issuer,year,month,insurance_type,status,xml_enrollment_count,xml_enrollee_count,xml_subscriber_count,azure_enrollment_count,azure_enrollee_count,azure_subscriber_count,match_status,count_match_pct
15105,2025,10,HEALTH,CANCELLED,77,1,56,59,2,2,MATCHED,43.4
15105,2025,10,HEALTH,ENROLLED,19468,1,19301,391,87,87,MATCHED,1.2
15105,2025,10,HEALTH,TERMINATED,268,1,268,268,4,4,MATCHED,42.16
15105,2025,11,HEALTH,CANCELLED,55,1,41,41,4,4,MATCHED,36.43
15105,2025,11,HEALTH,ENROLLED,1468,1,1388,218,24,24,MATCHED,6.92
15105,2025,11,HEALTH,TERMINATED,244,1,244,244,8,8,MATCHED,38.59
15105,2026,01,HEALTH,CANCELLED,53,1,52,47,5,5,MATCHED,39.43
15105,2026,01,HEALTH,ENROLLED,1272,1,1249,1240,67,67,MATCHED,34.78
15105,2026,01,HEALTH,TERMINATED,217,1,217,0,0,0,XML_ONLY,0.0
15105,2026,02,HEALTH,CANCELLED,739,1,712,734,40,40,MATCHED,35.81
15105,2026,02,HEALTH,ENROLLED,610,1,603,490,46,46,MATCHED,30.04
15105,2026,02,HEALTH,TERMINATED,1688,1,1688,1435,193,193,MATCHED,32.32
15105,2026,03,HEALTH,CANCELLED,279,1,272,278,8,8,MATCHED,38.36
15105,2026,03,HEALTH,ENROLLED,518,1,508,453,48,48,MATCHED,32.99
15105,2026,03,HEALTH,TERMINATED,188,1,188,20,1,1,MATCHED,37.06
15105,2026,04,HEALTH,CANCELLED,236,1,233,236,7,7,MATCHED,39.1
15105,2026,04,HEALTH,ENROLLED,471,1,456,463,37,37,MATCHED,36.37
15105,2026,04,HEALTH,TERMINATED,4264,1,4264,4255,204,204,MATCHED,35.02
15105,2026,05,HEALTH,CANCELLED,64,1,63,64,5,5,MATCHED,42.65
15105,2026,05,HEALTH,ENROLLED,347,1,342,340,34,34,MATCHED,36.96
15105,2026,05,HEALTH,TERMINATED,182,1,182,179,4,4,MATCHED,41.85
15105,2026,06,HEALTH,CANCELLED,23,1,23,0,0,0,XML_ONLY,0.0
15105,2026,06,HEALTH,ENROLLED,128,1,128,0,0,0,XML_ONLY,0.0
15105,2026,06,HEALTH,TERMINATED,144,1,144,0,0,0,XML_ONLY,0.0
