month,region,model_code,product_type,term_months,credit_tier,buy_rate_apr,published_apr,money_factor,residual_pct
2025-01,East,MODEL_1,Finance,36,A,4.06,4.764,,
2025-01,East,MODEL_1,Lease,48,A,,,0.003032,0.554
2025-01,East,MODEL_1,Finance,60,A,6.24,7.038,,
2025-01,East,MODEL_1,Finance,36,B,6.504,7.318,,
2025-01,East,MODEL_1,Lease,48,B,,,0.003478,0.488
2025-01,East,MODEL_1,Lease,60,B,,,0.002436,0.546
2025-01,East,MODEL_1,Finance,36,C,6.144,6.669,,
2025-01,East,MODEL_1,Finance,48,C,6.558,7.396,,
2025-01,East,MODEL_1,Finance,60,C,6.842,7.435,,
2025-01,East,MODEL_2,Lease,36,A,,,0.003759,0.519
2025-01,East,MODEL_2,Finance,48,A,4.043,4.821,,
2025-01,East,MODEL_2,Lease,60,A,,,0.002271,0.532
2025-01,East,MODEL_2,Lease,36,B,,,0.003573,0.486
2025-01,East,MODEL_2,Lease,48,B,,,0.003382,0.596
2025-01,East,MODEL_2,Lease,60,B,,,0.003772,0.572
2025-01,East,MODEL_2,Lease,36,C,,,0.003031,0.57
2025-01,East,MODEL_2,Lease,48,C,,,0.00302,0.535
2025-01,East,MODEL_2,Lease,60,C,,,0.002226,0.627
2025-01,East,MODEL_3,Finance,36,A,3.598,4.394,,
2025-01,East,MODEL_3,Finance,48,A,3.852,4.339,,
2025-01,East,MODEL_3,Lease,60,A,,,0.002716,0.586
2025-01,East,MODEL_3,Lease,36,B,,,0.004174,0.493
2025-01,East,MODEL_3,Finance,48,B,5.193,5.871,,
2025-01,East,MODEL_3,Finance,60,B,5.894,6.794,,
2025-01,East,MODEL_3,Finance,36,C,5.536,6.093,,
2025-01,East,MODEL_3,Lease,48,C,,,0.004219,0.541
2025-01,East,MODEL_3,Lease,60,C,,,0.003584,0.574
2025-01,East,MODEL_4,Finance,36,A,6.918,7.81,,
2025-01,East,MODEL_4,Lease,48,A,,,0.003284,0.623
2025-01,East,MODEL_4,Lease,60,A,,,0.003908,0.534
2025-01,East,MODEL_4,Lease,36,B,,,0.003431,0.628
2025-01,East,MODEL_4,Finance,48,B,4.074,4.997,,
2025-01,East,MODEL_4,Lease,60,B,,,0.003201,0.586
2025-01,East,MODEL_4,Finance,36,C,6.234,7.166,,
2025-01,East,MODEL_4,Lease,48,C,,,0.001678,0.552
2025-01,East,MODEL_4,Finance,60,C,4.488,5.291,,
2025-01,East,MODEL_5,Finance,36,A,5.9,6.685,,
2025-01,East,MODEL_5,Finance,48,A,5.618,6.481,,
2025-01,East,MODEL_5,Lease,60,A,,,0.004273,0.654
2025-01,East,MODEL_5,Lease,36,B,,,0.003286,0.609
2025-01,East,MODEL_5,Lease,48,B,,,0.002089,0.526
2025-01,East,MODEL_5,Lease,60,B,,,0.004329,0.549
2025-01,East,MODEL_5,Lease,36,C,,,0.00153,0.567
2025-01,East,MODEL_5,Lease,48,C,,,0.002253,0.539
2025-01,East,MODEL_5,Lease,60,C,,,0.004023,0.632
2025-01,East,MODEL_6,Lease,36,A,,,0.004042,0.513
