sale_id,sale_date,dealer_id,model_code,sale_price
600000,2024-05-08,308,MODEL_9,50976.45
600001,2025-12-17,302,MODEL_9,48437.41
600002,2024-03-28,301,MODEL_5,45867.06
600003,2024-05-10,312,MODEL_8,49185.47
600004,2024-10-19,303,MODEL_4,44895.84
600005,2025-12-28,310,MODEL_5,49974.93
600006,2025-11-04,315,MODEL_2,58628.99
600007,2025-05-19,308,MODEL_9,39222.79
600008,2025-08-12,315,MODEL_8,43430.66
600009,2025-06-06,306,MODEL_1,41597.67
600010,2024-08-03,305,MODEL_2,40206.95
600011,2025-10-22,303,MODEL_7,52237.81
600012,2024-12-23,310,MODEL_1,41881.49
600013,2024-12-27,312,MODEL_9,68616.13
600014,2025-03-11,314,MODEL_3,45820.37
600015,2025-09-05,307,MODEL_4,47020.64
600016,2024-10-22,318,MODEL_1,37194.29
600017,2025-02-01,303,MODEL_7,61178.1
600018,2025-08-17,315,MODEL_2,51449.91
600019,2024-10-22,306,MODEL_6,57543.7
600020,2025-08-23,319,MODEL_6,49336.7
600021,2024-10-19,319,MODEL_2,42179.74
600022,2024-12-18,306,MODEL_4,45814.21
600023,2024-08-30,309,MODEL_3,55466.77
600024,2024-03-12,317,MODEL_3,48677.06
600025,2024-02-25,300,MODEL_7,54581.29
600026,2025-02-13,311,MODEL_9,50318.8
600027,2024-01-18,301,MODEL_3,51675.02
600028,2024-01-19,306,MODEL_3,45776.91
600029,2024-05-09,313,MODEL_10,33991.04
600030,2024-12-14,316,MODEL_2,35914.63
600031,2025-06-19,310,MODEL_7,43027.01
600032,2024-12-21,307,MODEL_3,44815.89
600033,2025-04-17,301,MODEL_10,60126.17
600034,2025-02-10,313,MODEL_1,37911.34
600035,2025-03-29,318,MODEL_8,50263.36
600036,2024-01-15,301,MODEL_8,47162.39
600037,2025-08-17,316,MODEL_4,40158.77
600038,2024-12-09,310,MODEL_5,43997.67
600039,2024-01-07,305,MODEL_5,34831.51
600040,2025-12-21,312,MODEL_6,60566.63
600041,2025-06-28,308,MODEL_7,51413.65
600042,2024-10-11,306,MODEL_2,45894.58
600043,2024-10-27,314,MODEL_6,65315.46
600044,2024-04-06,301,MODEL_6,42612.51
600045,2025-03-29,307,MODEL_5,41781.68
600046,2025-04-16,302,MODEL_4,35891.69
600047,2024-03-17,311,MODEL_6,45117.54
600048,2025-01-14,309,MODEL_2,48580.73
600049,2024-11-03,319,MODEL_6,59915.92
600050,2024-09-02,316,MODEL_10,49036.3
600051,2024-02-03,305,MODEL_10,32205.97
600052,2024-02-23,306,MODEL_1,40282.33
600053,2024-04-04,319,MODEL_5,38492.6
600054,2025-04-02,315,MODEL_10,51406.79
600055,2024-08-25,314,MODEL_7,39834.18
600056,2024-04-23,313,MODEL_9,54113.14
600057,2024-06-11,304,MODEL_9,67263.9
600058,2025-08-28,300,MODEL_3,39245.63
600059,2024-03-20,309,MODEL_8,45022.61
600060,2024-05-24,308,MODEL_3,35478.33
600061,2024-07-30,307,MODEL_5,63194.57
600062,2025-03-11,318,MODEL_10,45988.42
600063,2025-10-24,302,MODEL_5,57381.83
600064,2025-01-18,303,MODEL_8,42806.86
600065,2024-10-03,300,MODEL_4,48767.54
600066,2025-01-27,303,MODEL_5,31789.21
600067,2025-10-13,307,MODEL_5,45424.82
600068,2024-02-17,306,MODEL_4,37566.02
600069,2024-12-17,314,MODEL_3,48187.33
600070,2025-07-18,319,MODEL_1,66770.67
600071,2024-03-24,311,MODEL_3,29217.09
600072,2025-06-27,306,MODEL_2,45113.37
600073,2025-01-14,303,MODEL_5,47289.26
600074,2024-08-12,305,MODEL_2,38133.41
600075,2025-03-31,311,MODEL_10,48056.88
600076,2024-02-12,302,MODEL_1,31665.45
600077,2024-11-20,301,MODEL_6,43675.94
600078,2025-08-04,304,MODEL_5,51883.8
600079,2024-11-15,319,MODEL_4,43027.22
600080,2025-12-31,315,MODEL_6,38777.53
600081,2024-07-22,306,MODEL_10,44891.06
600082,2025-01-12,319,MODEL_4,38460.56
600083,2024-09-09,318,MODEL_7,37579.45
600084,2025-08-06,314,MODEL_6,48320.72
600085,2025-05-19,319,MODEL_5,45970.67
600086,2024-07-25,302,MODEL_8,46926.85
600087,2024-08-23,317,MODEL_5,35474.58
600088,2024-09-12,304,MODEL_2,51246.84
600089,2024-04-19,313,MODEL_8,49826.11
600090,2024-02-03,303,MODEL_10,41452.74
600091,2025-12-21,303,MODEL_6,50911.63
600092,2025-06-28,314,MODEL_1,49305.07
600093,2025-07-26,303,MODEL_5,50305.52
600094,2025-10-25,312,MODEL_9,46104.5
600095,2025-09-15,302,MODEL_7,61384.48
600096,2025-11-04,315,MODEL_9,48648.32
600097,2025-12-30,319,MODEL_10,37004.31
600098,2024-06-02,307,MODEL_7,44271.0
600099,2025-11-25,312,MODEL_10,39987.64
600100,2025-03-25,310,MODEL_8,54027.32
600101,2025-06-25,301,MODEL_7,37582.01
600102,2024-10-08,311,MODEL_1,54712.75
600103,2024-01-09,308,MODEL_9,41672.32
600104,2024-06-29,305,MODEL_10,60087.89
600105,2025-02-16,310,MODEL_3,45370.41
600106,2024-11-25,302,MODEL_8,53263.34
600107,2024-07-21,311,MODEL_7,29081.42
600108,2025-12-04,301,MODEL_7,45643.79
600109,2024-06-30,302,MODEL_1,43511.88
600110,2025-10-27,319,MODEL_5,42591.16
600111,2024-11-07,313,MODEL_5,40311.13
600112,2024-01-27,302,MODEL_1,53037.37
600113,2025-01-26,309,MODEL_4,43421.13
600114,2024-03-27,300,MODEL_7,51348.13
600115,2025-09-09,317,MODEL_4,48968.71
600116,2024-06-20,306,MODEL_2,37784.23
600117,2024-07-16,317,MODEL_7,43512.93
600118,2024-08-19,312,MODEL_9,42961.13
600119,2024-09-29,300,MODEL_6,55333.5
600120,2024-11-09,303,MODEL_8,37583.27
600121,2025-07-07,305,MODEL_5,47528.7
600122,2024-02-09,311,MODEL_5,51060.0
600123,2025-07-08,316,MODEL_3,39364.35
600124,2024-10-03,300,MODEL_5,44214.75
600125,2024-06-28,305,MODEL_5,36832.08
600126,2024-04-10,303,MODEL_2,44891.54
600127,2024-08-06,302,MODEL_3,48007.17
600128,2025-09-26,300,MODEL_5,36379.34
600129,2024-03-14,312,MODEL_5,44048.94
600130,2024-03-01,301,MODEL_9,46247.85
600131,2025-12-05,305,MODEL_1,34436.89
600132,2024-06-28,316,MODEL_7,45447.45
600133,2024-03-26,303,MODEL_9,28571.91
600134,2025-04-22,306,MODEL_8,51646.56
600135,2024-11-18,302,MODEL_4,37973.85
600136,2025-03-21,312,MODEL_3,53550.29
600137,2025-01-27,306,MODEL_10,41038.61
600138,2024-12-30,318,MODEL_1,37103.72
600139,2024-03-09,317,MODEL_2,53153.66
600140,2024-09-11,316,MODEL_8,56040.04
600141,2024-05-16,314,MODEL_6,38774.64
600142,2024-06-15,312,MODEL_2,45401.75
600143,2024-05-24,304,MODEL_9,46222.6
600144,2024-11-10,301,MODEL_9,51725.3
600145,2025-04-05,305,MODEL_2,38129.5
600146,2025-05-10,314,MODEL_4,67022.64
600147,2025-02-26,316,MODEL_8,30205.39
600148,2024-02-20,306,MODEL_9,44764.56
600149,2025-07-10,307,MODEL_2,45760.83
600150,2025-03-16,315,MODEL_1,36562.15
600151,2024-03-03,305,MODEL_4,55229.08
600152,2024-05-06,306,MODEL_5,45102.94
600153,2025-04-18,300,MODEL_10,34211.9
600154,2025-11-28,310,MODEL_2,51170.16
600155,2025-03-27,304,MODEL_6,51068.46
600156,2025-07-05,301,MODEL_4,44241.47
600157,2024-06-05,313,MODEL_9,59889.36
600158,2025-06-20,315,MODEL_5,41501.7
600159,2024-10-05,300,MODEL_6,52291.8
600160,2025-12-18,319,MODEL_4,40741.87
600161,2024-05-27,308,MODEL_8,43587.46
600162,2024-05-05,315,MODEL_10,47541.91
600163,2024-11-15,314,MODEL_2,37996.19
600164,2024-05-25,310,MODEL_6,36967.87
600165,2024-10-18,313,MODEL_6,34503.21
600166,2025-04-17,318,MODEL_4,47270.64
600167,2024-11-03,311,MODEL_6,50778.79
600168,2025-09-15,304,MODEL_9,46064.35
600169,2024-03-13,313,MODEL_9,49446.21
600170,2024-04-24,319,MODEL_4,55166.04
600171,2024-07-11,302,MODEL_3,36972.2
600172,2024-09-23,315,MODEL_5,65304.06
600173,2024-01-26,319,MODEL_9,39260.45
600174,2025-06-04,310,MODEL_4,50352.78
600175,2025-01-16,316,MODEL_7,51657.17
600176,2025-07-06,315,MODEL_2,60959.87
600177,2024-07-13,319,MODEL_6,53879.66
600178,2024-11-21,315,MODEL_6,53115.76
600179,2024-02-09,308,MODEL_7,47503.17
600180,2024-10-31,301,MODEL_10,58025.66
600181,2024-09-10,311,MODEL_3,44392.8
600182,2024-01-12,310,MODEL_2,42820.39
600183,2024-11-28,316,MODEL_2,46478.34
600184,2025-11-27,304,MODEL_4,33407.63
600185,2025-08-27,303,MODEL_7,34418.27
600186,2025-11-23,303,MODEL_7,49324.67
600187,2025-11-07,307,MODEL_7,40466.31
600188,2024-01-05,302,MODEL_9,46708.72
600189,2024-09-23,312,MODEL_1,34879.54
600190,2025-12-14,304,MODEL_6,42947.78
600191,2025-03-12,318,MODEL_3,53524.2
600192,2025-04-09,317,MODEL_7,37497.86
600193,2025-10-01,312,MODEL_9,44201.29
600194,2025-09-28,302,MODEL_10,66179.35
600195,2025-03-25,314,MODEL_6,46066.32
600196,2025-12-30,316,MODEL_5,37905.35
600197,2025-02-23,302,MODEL_2,52513.19
600198,2024-03-23,303,MODEL_5,45771.16
600199,2024-04-16,318,MODEL_9,50899.34
600200,2025-04-06,302,MODEL_8,41235.48
600201,2025-07-13,319,MODEL_9,38293.9
600202,2024-06-12,317,MODEL_2,23572.13
600203,2025-06-11,306,MODEL_9,42716.26
600204,2024-02-14,309,MODEL_4,32936.72
600205,2025-01-16,314,MODEL_5,39676.55
600206,2025-05-23,319,MODEL_4,39141.91
600207,2025-06-21,303,MODEL_4,39306.07
600208,2024-11-11,305,MODEL_1,41889.47
600209,2025-05-06,314,MODEL_6,43186.6
600210,2025-07-01,309,MODEL_6,37160.35
600211,2025-04-11,307,MODEL_10,50249.81
600212,2025-05-05,314,MODEL_5,41405.89
600213,2025-06-04,309,MODEL_4,45096.54
600214,2025-04-12,306,MODEL_3,52581.01
600215,2025-09-06,313,MODEL_1,52586.56
600216,2025-09-10,306,MODEL_5,48955.09
600217,2025-08-02,316,MODEL_3,49100.23
600218,2025-07-03,300,MODEL_1,45852.78
600219,2024-11-03,303,MODEL_7,49338.06
600220,2024-10-22,305,MODEL_2,43590.01
600221,2025-04-09,310,MODEL_9,46162.0
600222,2024-07-29,309,MODEL_5,58378.64
600223,2025-06-01,312,MODEL_10,39891.69
600224,2025-04-15,300,MODEL_7,50023.1
600225,2025-05-20,304,MODEL_1,52621.64
600226,2025-08-13,318,MODEL_9,45132.11
600227,2024-02-11,303,MODEL_2,49481.85
600228,2024-06-06,308,MODEL_5,42027.58
600229,2024-10-15,316,MODEL_3,45616.58
600230,2025-12-08,314,MODEL_6,41719.1
600231,2025-04-11,306,MODEL_8,45545.01
600232,2025-01-08,300,MODEL_7,45142.82
600233,2025-03-10,314,MODEL_4,42129.9
600234,2024-05-28,310,MODEL_7,31835.14
600235,2025-06-09,310,MODEL_4,46358.38
600236,2025-01-25,318,MODEL_3,48435.93
600237,2025-05-22,308,MODEL_7,41044.64
600238,2025-07-07,309,MODEL_7,44356.99
600239,2025-09-25,312,MODEL_1,54988.67
600240,2025-05-14,315,MODEL_10,51051.02
600241,2024-11-14,310,MODEL_6,51594.31
600242,2025-04-29,309,MODEL_7,52333.98
600243,2025-08-04,305,MODEL_7,53957.73
600244,2024-05-26,308,MODEL_2,52786.99
600245,2025-06-12,302,MODEL_5,39860.15
600246,2024-12-05,303,MODEL_6,36272.19
600247,2025-10-01,318,MODEL_3,40783.97
600248,2025-10-03,318,MODEL_1,63309.08
600249,2025-08-23,317,MODEL_5,24768.42
600250,2024-02-15,313,MODEL_7,51297.44
600251,2025-07-21,301,MODEL_10,56318.2
600252,2025-11-02,307,MODEL_9,54151.27
600253,2024-05-25,319,MODEL_10,45840.22
600254,2024-10-18,302,MODEL_9,45499.22
600255,2024-04-06,304,MODEL_1,59029.01
600256,2025-09-10,315,MODEL_10,58037.18
600257,2024-08-25,300,MODEL_7,41806.83
600258,2025-12-25,308,MODEL_2,49577.77
600259,2024-12-12,305,MODEL_8,60356.18
600260,2024-09-10,305,MODEL_9,31210.79
600261,2025-10-28,313,MODEL_3,36795.7
600262,2024-02-17,304,MODEL_5,44640.84
600263,2025-06-25,315,MODEL_6,50162.77
600264,2025-04-21,315,MODEL_10,45845.69
600265,2025-12-16,309,MODEL_9,36989.23
600266,2024-02-10,306,MODEL_1,44393.19
600267,2024-09-24,310,MODEL_10,46410.88
600268,2025-01-31,319,MODEL_10,44751.77
600269,2025-04-24,308,MODEL_4,44298.53
600270,2024-02-19,305,MODEL_8,27292.32
600271,2024-02-16,300,MODEL_10,44808.15
600272,2024-03-02,306,MODEL_9,52456.74
600273,2024-12-30,307,MODEL_4,44486.22
600274,2025-08-01,311,MODEL_8,46907.24
600275,2025-01-04,302,MODEL_5,49095.92
600276,2025-11-02,313,MODEL_2,41104.12
600277,2024-03-26,304,MODEL_8,46010.85
600278,2024-01-22,318,MODEL_9,44566.55
600279,2025-12-21,310,MODEL_10,51784.27
600280,2024-11-02,309,MODEL_10,40999.91
600281,2025-01-16,315,MODEL_6,36702.45
600282,2024-07-23,319,MODEL_7,49911.39
600283,2024-08-29,305,MODEL_9,37626.15
600284,2024-08-16,305,MODEL_2,44036.31
600285,2025-12-05,314,MODEL_9,33411.57
600286,2025-01-24,315,MODEL_1,37799.64
