dealer_id,dealer_name,region
300,MB Dealer 300,EAST
301,MB Dealer 301,SOUTH
302,MB Dealer 302,MIDWEST
303,MB Dealer 303,WEST
304,MB Dealer 304,EAST
305,MB Dealer 305,SOUTH
306,MB Dealer 306,MIDWEST
307,MB Dealer 307,WEST
308,MB Dealer 308,EAST
309,MB Dealer 309,SOUTH
310,MB Dealer 310,MIDWEST
311,MB Dealer 311,WEST
312,MB Dealer 312,EAST
313,MB Dealer 313,SOUTH
314,MB Dealer 314,MIDWEST
315,MB Dealer 315,WEST
316,MB Dealer 316,EAST
317,MB Dealer 317,SOUTH
318,MB Dealer 318,MIDWEST
319,MB Dealer 319,WEST
